                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.57728,                0.73662,                0.32448,                0.87138,                0.87373,                0.79876,                0.85854,                0.74326,                0.86488,                0.78537,                0.84317,                0.66583,                0.63448,                0.83989,                0.34763,                0.87426,             4.6512e-05,             4.6512e-05,             4.6512e-05
                     88,                0.56824,                0.73421,                0.32121,                0.87136,                0.86348,                0.80248,                0.86178,                0.74452,                0.86221,                0.78673,                0.84669,                0.66552,                0.63477,                0.84271,                 0.3474,                0.87677,             4.3413e-05,             4.3413e-05,             4.3413e-05
                     89,                0.56962,                0.72767,                0.31828,                0.87036,                0.87597,                0.79588,                0.86282,                0.74733,                0.86773,                0.78033,                0.84562,                0.66759,                0.63358,                0.83934,                0.34536,                0.87738,             4.0314e-05,             4.0314e-05,             4.0314e-05
                     90,                0.56648,                0.72092,                0.31449,                0.86888,                0.84939,                0.82058,                 0.8651,                0.75149,                0.84618,                0.80167,                0.85122,                0.67495,                0.63314,                0.84206,                0.34549,                0.87697,             3.7216e-05,             3.7216e-05,             3.7216e-05
                     91,                 0.5475,                0.68429,                0.28452,                0.85482,                0.83346,                 0.8441,                 0.8632,                0.75028,                0.82848,                0.81379,                0.84715,                 0.6674,                0.63643,                0.84945,                  0.348,                0.87817,             3.4117e-05,             3.4117e-05,             3.4117e-05
                     92,                0.54298,                0.68129,                0.27833,                0.85626,                0.88649,                 0.8283,                0.87117,                0.75571,                0.89691,                0.78913,                0.85073,                0.67132,                0.63559,                0.85367,                0.34743,                0.87734,             3.1018e-05,             3.1018e-05,             3.1018e-05
                     93,                0.53721,                0.66803,                0.27567,                0.85352,                0.89468,                0.82698,                0.87015,                0.75422,                0.88244,                0.81168,                 0.8507,                0.67186,                0.63573,                0.85373,                0.34651,                0.87628,              2.792e-05,              2.792e-05,              2.792e-05
                     94,                0.53599,                0.67149,                0.27599,                0.85366,                0.90587,                0.82136,                0.86095,                0.74796,                0.90602,                0.79876,                0.84243,                0.66476,                0.63449,                0.85523,                0.34693,                0.87659,             2.4821e-05,             2.4821e-05,             2.4821e-05
                     95,                0.53318,                0.66796,                0.27346,                0.85263,                0.91409,                0.81017,                0.85985,                 0.7486,                0.90623,                0.79241,                0.84116,                0.66374,                0.63438,                0.85806,                0.34697,                0.87943,             2.1722e-05,             2.1722e-05,             2.1722e-05
                     96,                0.52821,                0.66014,                0.26897,                0.85046,                0.91444,                0.80851,                0.85821,                0.74609,                0.90346,                0.79302,                0.83811,                0.66187,                0.63335,                0.85763,                0.34633,                0.88043,             1.8624e-05,             1.8624e-05,             1.8624e-05
                     97,                0.52617,                0.65769,                0.27101,                0.84911,                0.91366,                0.80873,                0.86096,                 0.7459,                 0.9022,                0.79319,                0.84059,                 0.6635,                  0.633,                0.85968,                0.34589,                0.87988,             1.5525e-05,             1.5525e-05,             1.5525e-05
                     98,                0.52525,                0.66336,                0.26888,                0.84919,                 0.9095,                 0.8094,                0.86204,                0.74612,                0.89794,                0.79424,                0.84139,                0.66519,                0.63243,                0.85988,                0.34579,                0.87892,             1.2426e-05,             1.2426e-05,             1.2426e-05
                     99,                0.52232,                0.65862,                0.26608,                0.85052,                0.91016,                0.81235,                0.85598,                0.74195,                0.90075,                0.79285,                0.83578,                0.66119,                0.63259,                0.85907,                0.34545,                0.87957,             9.3274e-06,             9.3274e-06,             9.3274e-06
                    100,                0.52106,                0.65686,                 0.2652,                 0.8482,                0.91107,                0.81282,                0.85685,                0.74227,                0.89951,                0.79697,                0.83656,                 0.6609,                0.63228,                0.85898,                0.34488,                0.87959,             6.2287e-06,             6.2287e-06,             6.2287e-06
